epoch,step,train_loss
0,11,0.8189046382904053
1,23,0.5361128449440002
2,35,0.2985289394855499
3,47,-0.06466246396303177
4,59,-0.5121158957481384
5,71,-0.8326642513275146
6,83,-1.0496805906295776
7,95,-1.0104588270187378
8,107,-1.3239411115646362
9,119,-1.522850513458252
