epoch,step,train_loss
0,11,0.7329162955284119
1,23,0.4315755367279053
2,35,0.07224006205797195
3,47,-0.35242319107055664
4,59,-0.6969714164733887
5,71,-0.9664730429649353
6,83,-1.2130218744277954
7,95,-1.1565684080123901
8,107,-1.4040369987487793
9,119,-1.4963008165359497
